205.0,100.0
175.0,61.0
140.0,28.0
97.0,17.0
57.0,37.0
34.0,71.0
23.0,109.0
17.0,151.0
16.0,193.0
15.0,235.0
14.0,272.0
23.0,312.0
37.0,342.0
51.0,378.0
76.0,412.0
99.0,435.0
128.0,458.0
160.0,465.0
191.0,462.0
210.0,444.0
174.0,208.0
176.0,171.0
171.0,129.0
152.0,95.0
129.0,71.0
96.0,59.0
66.0,73.0
49.0,106.0
42.0,143.0
41.0,180.0
39.0,217.0
37.0,248.0
41.0,284.0
55.0,314.0
74.0,344.0
188.0,238.0
175.0,265.0
173.0,297.0
186.0,321.0
189.0,347.0
157.0,340.0
138.0,306.0
105.0,299.0
77.0,281.0
64.0,251.0
71.0,219.0
89.0,190.0
114.0,183.0
139.0,175.0
165.0,172.0
48.0,200.0
60.0,162.0
72.0,135.0
80.0,103.0
98.0,80.0
